"Rank","Name","MLB ID","FV","ETA","Position","Team"
"872","Gavin Collyer","686560","40","2026","RHP","Texas Rangers"
"873","Cameron Millar","832698","40","2031","RHP","Kansas City Royals"
"874","Zander Mueth","805800","40","2029","RHP","Pittsburgh Pirates"
"875","Kyle Carr","694805","40","2027","LHP","New York Yankees"
"876","Luis Gutierrez","692294","40","2026","LHP","San Diego Padres"
"877","Konner Eaton","820825","40","2027","LHP","Colorado Rockies"
"878","Joe Whitman","802126","40","2027","LHP","San Francisco Giants"
"879","Eriq Swan","811291","40","2027","RHP","Washington Nationals"
"880","Nick Monistere","823809","37","2028","2B","HOU"
"881","Chase Davis","690971","37","2028","RF","STL"
"882","Tyler Black","672012","37","2026","1B","MIL"
"883","Cesar Acosta","830802","37","2031","C","NYM"
"884","Eric Bitonti","800724","38","2028","1B","Milwaukee Brewers"
"885","Izaac Pacheco","691789","38","2027","3B/1B","Detroit Tigers"
"886","McCade Brown","685326","40","2026","RHP",""
"887","Jostin Florentino","808062","40","2028","RHP","Chicago Cubs"
"888","Harrison Cohen","694660","40","2026","RHP","New York Yankees"
"889","Yerlin Confidan","691398","37","2027","RF","CIN"
"890","Lucas Spence","828599","40","2027","OF","Houston Astros"
"891","Jose Fleury","800067","40","2026","RHP","Houston Astros"
"892","Juan Tomas","829823","40","2030","SS","Chicago Cubs"
"893","Grant Shepardson","824415","40","2028","RHP","Miami Marlins"
"894","Juan Parra","832324","40","2031","SS","Philadelphia Phillies"
"895","Wilder Dalis","815195","40","2029","INF","Colorado Rockies"
"896","Mason Barnett","686930","40","2026","RHP","Athletics"
"897","Bobby Boser","804119","40","2028","3B/2B/SS","Athletics"
"898","Nauris De La Cruz","832703","40","2030","OF","Washington Nationals"
"899","Mavis Graves","703496","40","2027","LHP","Philadelphia Phillies"
"900","Edgleen Perez","814297","40","2028","C/1B","Pittsburgh Pirates"
"901","Duce Gourson","701546","40","2027","2B/3B/1B","Pittsburgh Pirates"
"902","Josh Hansell","700985","40","2028","RHP","Kansas City Royals"
"903","Tony Blanco Jr.","703156","40","2029","1B","Pittsburgh Pirates"
"904","Deniel Ortiz","811765","40","2027","3B/1B","St. Louis Cardinals"
"905","José Castro","821078","40","2030","OF","Miami Marlins"
"906","Creed Willems","695735","40","2027","C/1B","Baltimore Orioles"
"907","Filippo Di Turi","806995","37","2028","SS","MIL"
"908","Colton Ledbetter","807742","37","2026","RF","STL"
"909","Luis Suisbel","692044","37","2028","3B","SEA"
"910","James Tallon","810890","40","2028","LHP","Philadelphia Phillies"
"911","Riley Martin","702303","40","2026","LHP","Chicago Cubs"
"912","Maui Ahuna","694757","40","2028","SS","San Francisco Giants"
"913","Aiden Taurek","702522","40","2028","OF","Seattle Mariners"
"914","Sam Petersen","695763","40","2027","OF","Washington Nationals"
"915","Sebastian Blanco","829949","40","2030","SS","Colorado Rockies"
"916","Bruin Agbayani","828202","40","2029","SS/2B","Minnesota Twins"
"917","Darwing Ozuna","829048","40","2030","OF","Athletics"
"918","Abimelec Ortiz","694673","40","2026","1B/OF",""
"919","Blake Wolters","806265","40","2028","RHP","Kansas City Royals"
"921","Cam Tilly","806704","40","2028","RHP","New York Mets"
"922","Anthony Huezo","805953","38","2029","OF","Houston Astros"
"923","Tyler Callihan","682997","37","2026","2B","CIN"
"924","Gian Zapata","806979","37","2030","RF","ARI"
"925","Nolan Schubart","702278","38","2028","OF/1B","Cleveland Guardians"
"926","Isaiah Drake","806061","40","2028","OF","Atlanta Braves"
"927","Anthony Gutierrez","703152","40","2028","OF","Texas Rangers"
"928","Kyle DeBarge","814414","40","2027","SS","Minnesota Twins"
"929","Fenwick Trimble","814458","40","2027","OF","Miami Marlins"
"930","Colin Yeaman","829649","40","2028","3B/SS","Baltimore Orioles"
"931","Carlos Sanchez","800176","40","2028","3B/SS/OF","Cincinnati Reds"
"932","Ariel Armas","813666","40","2027","C","Chicago Cubs"
"933","Nate Nankil","694977","40","2027","OF","Athletics"
"934","Jancel Villarroel","806611","40","2028","C/OF","San Francisco Giants"
"935","Daiverson Gutierrez","806987","40","2029","C","New York Mets"
"936","Angel Feliz","815906","40","2029","SS/2B","Washington Nationals"
"937","Khadim Diaw","813715","40","2027","C","Minnesota Twins"
"938","Billy Amick","701771","40","2027","3B/1B","Minnesota Twins"
"939","Yohandy Morales","691002","40","2026","1B/3B","Washington Nationals"
"940","Stiven Martinez","815913","40","2029","OF","Baltimore Orioles"
"941","Kale Fountain","806495","40","2029","1B/3B","San Diego Padres"
"942","Alex McCoy","801932","40","2028","OF","San Diego Padres"
"943","Sean Paul Liñan","800344","40","2027","RHP","New York Yankees"
"944","Patrick Reilly","694345","40","2027","RHP","Baltimore Orioles"
"945","Tytus Cissell","815632","37","2030","SS","ARI"
"946","Luis Baez","678861","37","2028","1B","HOU"
"947","Rhylan Thomas","689041","40","2026","OF","Seattle Mariners"
"948","Matthew Ferrara","814955","40","2029","SS/2B","Philadelphia Phillies"
"949","Brendan Tunink","815665","40","2029","OF","Los Angeles Dodgers"
"950","Ethan Anderson","803175","40","2027","C/1B","Baltimore Orioles"
"951","Ashly Andujar","815903","40","2029","SS","Colorado Rockies"
"952","Nick Dumesnil","825094","40","2028","OF","Detroit Tigers"
"953","Randy De Jesus","703194","40","2027","OF","Los Angeles Angels"
"954","Ricky Cabrera","703150","40","2028","3B/2B","Cincinnati Reds"
"955","Gavin Cross","688457","40","2026","OF","Kansas City Royals"
"956","Jace Avina","701778","40","2027","OF","New York Yankees"
"957","Kala'i Rosario","693850","40","2026","OF","Minnesota Twins"
"958","Eric Reyzelman","801432","40","2026","RHP","New York Yankees"
"959","Cole Miller","800612","40","2029","RHP","Athletics"
"960","Caleb Leys","834393","40","2028","LHP","Detroit Tigers"
"961","Jay Allen II","695481","37","2026","CF","CIN"
"962","Colin Houck","806124","37","2030","SS","NYM"
"963","Alfredo Alcantara","807643","37","2029","2B","CIN"
"964","Caden Powell","702547","38","2028","SS/3B","Houston Astros"
"965","Luis Martinez-Gomez","815292","40","2027","RHP","Chicago Cubs"
"966","Patrick Clohisy","802117","40","2027","OF","Atlanta Braves"
"967","Jared Sundstrom","814791","40","2026","OF","Seattle Mariners"
"968","Jhoan De La Cruz","829063","40","2030","SS/2B","San Diego Padres"
"969","Mani Cedeno","829041","40","2031","SS","New York Yankees"
"970","Jagger Haynes","695247","40","2027","LHP","San Diego Padres"
"971","Angel Cepeda","806980","40","2028","INF","Chicago Cubs"
"972","Kade Snell","820835","40","2028","OF","Chicago Cubs"
"973","Paulino Santana","815889","40","2029","OF","Texas Rangers"
"974","Braedon Karpathios","701682","40","2027","OF","San Diego Padres"
"975","Axiel Plaz","800208","40","2028","C/1B","Pittsburgh Pirates"
"976","Carson Palmquist","687223","40","2026","LHP","Colorado Rockies"
"977","Blake Walston","686796","37","2026","SP","ARI"
"978","Tirso Ornelas","672359","40","2026","OF","San Diego Padres"
"979","Frank Mozzicato","700924","40","2027","LHP","Kansas City Royals"
"980","Javier Mogollon","808684","37","2028","2B","CHW"
"981","Eduardo Garcia","682633","37","2027","SS","MIL"
"982","Charles McAdoo","807727","37","2027","3B","TOR"
"983","Noble Meyer","800611","40","2027","RHP","Miami Marlins"
"984","Carlos Jimenez","692039","40","2028","OF","Seattle Mariners"
"985","Romeo Sanabria","703804","40","2027","1B","San Diego Padres"
"986","Lamar King Jr.","702601","40","2027","C/1B","San Diego Padres"
"987","Truitt Madonna","833008","40","2029","C","San Diego Padres"
"988","Caleb Lomavita","701616","40","2027","C","Washington Nationals"
"989","Xavier Rivas","814392","40","2027","LHP","New York Yankees"
"990","Victor Acosta","694193","37","2027","SS","CIN"
"991","Matthew Wood","687783","37","2027","C","MIL"
"992","Richard Matic","821043","37","2030","3B","NYY"
"993","Dixon Williams","703483","40","2028","2B/3B","Atlanta Braves"
"994","Grant Kipp","805990","40","2026","RHP","Chicago Cubs"
"995","Thomas Sosa","800449","40","2028","OF","Baltimore Orioles"
"996","Grant Knipp","694840","40","2028","RHP/DH","Seattle Mariners"
"997","José Anderson","821262","37","2030","RF","MIL"
"998","Malcolm Moore","702270","40","2028","C","Texas Rangers"
"999","Enrique Jimenez","806992","40","2029","C/1B","Minnesota Twins"
"1000","Maxton Martin","807722","40","2028","OF","Texas Rangers"
"1001","Charlie Pagliarini","813860","37","2028","2B","SEA"
"1002","Jack Martinez","837824","37","2028","MIRP","STL"
"1003","Yordy Herrera","800277","37","2028","SIRP","STL"
"1004","Cameron Leary","802474","40","2028","OF","Athletics"
"1005","Logan Wagner","702488","37","2028","3B","LAD"
"1006","Griff O'Ferrall","803172","40","2027","SS/2B","Baltimore Orioles"
"1007","Pedro Blanco","821380","37","2030","1B","ARI"
"1008","George Wolkow","805804","37","2028","RF","CHW"
"1009","Kyle Henley","806120","37","2030","CF","CIN"
"1010","Christian Little","691733","37","2028","SIRP","SEA"
"1011","Blas Castaño","680604","37","2026","MIRP","SEA"
"1012","Carson Coleman","679693","37","2026","SIRP","NYY"
"1013","Tony Rossi","702036","37","2028","SIRP","NYY"
"1014","Alexander Alberto","693739","37","2027","SIRP","CHW"
"1015","Michael Knorr","681077","37","2026","SIRP","HOU"
"1016","Chris Kean","815454","37","2027","SIRP","NYY"
"1017","Mathias LaCombe","807187","37","2028","SIRP","CHW"
"1018","Yeferson Vargas","814279","37","2029","SIRP","LAA"
"1019","Cade Kuehler","805780","37","2026","SIRP","ATL"
"1020","Luis Velasquez","686433","37","2027","SIRP","NYY"
"1021","Jairo Iriarte","683568","37","2026","SIRP","CHW"
"1022","Cody Laweryson","689520","37","2026","SIRP","LAA"
"1023","Thomas  Balboni Jr.","693647","37","2027","SIRP","NYY"
"1024","Camden Minacci","695229","37","2026","SIRP","LAA"
"1025","Kevin Abel","674265","37","2026","MIRP","CIN"
"1026","Connor Thomas","671162","37","2026","MIRP","ATL"
"1027","Michael Mercado","675650","37","2026","MIRP","PHI"
"1028","Riley Gowens","803035","37","2027","MIRP","CHW"
"1029","Yoniel Curet","692414","37","2026","SIRP","PHI"
"1030","Ben Peoples","687239","37","2026","SIRP","CHW"
"1031","Cristhian Tortosa","665993","37","2026","SIRP","PHI"
"1032","Yondrei Rojas","700292","37","2026","SIRP","TOR"
"1033","Tyler Davis","699823","37","2026","SIRP","CHW"
"1034","Jhon Almonte","829383","37","2030","MIRP","LAA"
"1035","Titan Kennedy-Hayes","813901","37","2028","SIRP","PHI"
"1036","Douglas Orellana","702878","37","2026","SIRP","NYM"
"1037","Doug Nikhazy","680951","37","2026","MIRP","CLE"
"1038","Dahian  Santos","692479","37","2026","MIRP","TOR"
"1039","Shane Murphy","690294","37","2026","MIRP","CHW"
"1040","Felipe De La Cruz","700370","37","2026","SIRP","NYM"
"1041","Peyton Prescott","807290","37","2028","SIRP","NYM"
"1042","Drew Sommers","805427","37","2026","SIRP","DET"
"1043","Kai Peterson","815322","37","2027","SIRP","TOR"
"1044","Truman Pauley","831912","37","2029","MIRP","CHW"
"1045","Luis Alvarez","700351","37","2028","SIRP","NYM"
"1046","Simon Miller","815043","37","2027","SIRP","CIN"
"1047","Skylar Hales","813766","37","2026","SIRP","STL"
"1048","Moises Rodriguez","685481","37","2027","SIRP","DET"
"1049","Carson Jacobs","801941","37","2027","SIRP","CHW"
"1050","Paul Gervase","801434","37","2026","SIRP","LAD"
"1051","Ethan Young","831273","37","2028","MIRP","STL"
"1052","Garrett McDaniels","680729","37","2026","SIRP","LAD"
"1053","Dylan DeLucia","690626","37","2027","MIRP","CLE"
"1054","Mason Molina","695766","37","2028","MIRP","STL"
"1055","Ronan Kopp","691947","37","2026","SIRP","LAD"
"1056","Steven Pérez","682897","37","2026","SIRP","CLE"
"1057","Frank Elissalt","692284","37","2028","SIRP","STL"
"1058","Carson Hobbs","814481","37","2026","SIRP","LAD"
"1059","Jackson  Humphries","703469","37","2027","MIRP","CLE"
"1060","Tyler Owens","687074","37","2026","SIRP","DET"
"1061","Matt Pushard","690155","37","2025","SIRP","STL"
"1062","Jakob Wright","809915","37","2027","SIRP","LAD"
"1063","Kendeglys Virguez","802068","37","2027","SIRP","CLE"
"1064","Ryan Birchard","804670","37","2027","MIRP","MIL"
"1065","Calvin Ziegler","683349","37","2027","SIRP","NYM"
"1066","Reynaldo Yean","702905","37","2027","SIRP","LAD"
"1067","Luis R. Rodriguez","691712","37","2027","SIRP","NYM"
"1068","Randel Clemente","695003","37","2026","SIRP","STL"
"1069","Aidan Foeller","826538","37","2029","SIRP","LAD"
"1070","Spencer Giesting","801517","37","2026","MIRP","ARI"
"1071","Kenny Serwa","690162","37","2028","MIRP","DET"
"1072","Peter Heubeck","695646","37","2026","SIRP","LAD"
"1073","Sean Episcope","834243","37","2029","MIRP","MIL"
"1074","Sawyer Hawks","700895","37","2027","SIRP","ARI"
"1075","Jack Hostetler","828774","37","2029","SIRP","MIL"
"1076","Isaac Ayon","694847","37","2028","SIRP","LAD"
"1077","Landon Sims","683085","37","2026","SIRP","ARI"
"1078","Dylan Tate","827721","37","2029","SIRP","LAD"
"1079","Kyle Amendt","694900","37","2026","SIRP","ARI"
"1080","Wyatt Crowell","694573","37","2027","SIRP","LAD"
"1081","Logan Tabeling","805841","37","2029","SIRP","LAD"
"1082","Walvin Mena","808005","37","2029","SIRP","ARI"
"1083","Jaxon Dalena","826941","","2028","RHP","San Diego Padres"
